zmin,zmax,N,zmean,zmean_ref,bias
0.2,0.45,11124.0,0.38506551995831195,0.44642534852027893,-0.06135982856196698
0.45,0.55,4287.0,0.5246310843605736,0.538472592830658,-0.013841508470084363
0.55,0.7,7597.0,0.6391259889765828,0.6607350707054138,-0.021609081728831026
0.7,0.8,4833.0,0.7562561432594854,0.7593547105789185,-0.003098567319433032
0.8,0.9,5819.0,0.855335955294187,0.8601254820823669,-0.004789526788179899
0.9,1.0,5925.0,0.9478005055934136,0.9616844058036804,-0.013883900210266864
1.0,1.15,4246.0,1.0881108188226871,1.1009949445724487,-0.01288412574976161
1.15,1.35,5469.0,1.2425625956638633,1.2442827224731445,-0.0017201268092812416
1.35,1.65,5324.0,1.488008660768527,1.4815988540649414,0.0064098067035855966
1.65,2.0,3537.0,1.796293837383935,1.7420721054077148,0.054221731976220156
