mean,sigma,skewness,kurtosis,Deltaz,Deltaz_err,var_name
-100.0,2.338836543458456e-05,3.43740390664928e-11,2.7779362343771647e-07,0.01416553274579998,0.0006156962129552477,shift
-77.77777777777645,1.992342265566549e-05,3.904668716834197e-11,2.3663902815052038e-07,0.010230827415399978,0.0007772937496743089,shift
-55.555555555554754,1.546849597389155e-05,3.7894665305382367e-11,1.8372596999327587e-07,0.00800240228179999,0.0006736404152046618,shift
-33.33333333333303,1.0023585389262736e-05,2.945947124592398e-11,1.1905444119442164e-07,0.004116648372799969,0.0007347740324088117,shift
-11.111111111110404,3.5886910723093024e-06,1.2309969977212145e-11,4.2624435092619706e-08,0.0017080088128999856,0.0007947383416583054,shift
11.111111111111311,3.5886911291527213e-06,-1.2306478017526026e-11,4.262443398239668e-08,0.00037927851289998283,0.0008269272207114345,shift
33.33333333333303,1.0023585389262736e-05,-2.94629632056101e-11,1.1905444075033245e-07,-0.0042610684417000114,0.0011306483284829513,shift
55.55555555555657,1.5468495803361293e-05,-3.788248405066338e-11,1.8372596977123123e-07,-0.006659295885500028,0.000586037793120154,shift
77.77777777777828,1.9923422485135237e-05,-3.9033612621610266e-11,2.366390274843866e-07,-0.01008298184290003,0.000789728063165489,shift
100.00000000000091,2.338836543458456e-05,-3.4366243063472634e-11,2.7779362343771647e-07,-0.012538385486700021,0.0009009909835165183,shift
-0.15001500149992353,-11.519290071624086,4.984882225648882e-15,-6.5636081014730516e-09,-0.00017661003820004274,0.00046753078434905973,widening
-0.15001500149992353,-8.92095396385622,1.5917231036664547e-15,-5.032835481699749e-09,-0.00021054674640000917,0.00030841578187086746,widening
-0.15001500149992353,-6.495840264013452,5.0070590714402004e-15,-3.6311047502124442e-09,0.0006238811629999837,0.0007018305056251582,widening
-0.15001500149992353,-3.89750415781748,4.854313041563582e-15,-2.1574353414877123e-09,0.001126050005199974,0.0007060234905986679,widening
-0.15001500149992353,-1.29916805241146,1.6076672088486568e-15,-7.121918610408784e-10,0.0006955487880999752,0.0004920668180106366,widening
-0.15001500149992353,1.1259456452679617,3.4200020284056947e-15,6.116993578331176e-10,0.0002277645230000066,0.0005973766648199323,widening
-0.15001500150083302,3.7242817491893447,-3.3180575517839038e-15,2.0040289427925018e-09,3.9756657999989385e-05,0.0006420476462889658,widening
-0.15001500149901406,6.32261785236426,8.339442748528478e-15,3.3700016111026802e-09,0.0011150967889999805,0.0007895803777520496,widening
-0.15001500149992353,8.747731547999592,3.4018076688137867e-15,4.621709459584622e-09,0.0011042640458999939,0.0008814423460355117,widening
-0.15001500149992353,11.346067649770761,3.58066759345909e-15,5.938578517827864e-09,0.0004814690867999901,0.0005640534291232846,widening
-57.00919955292284,-4.041271410042043,-0.16867607125111134,0.047740231263716286,0.008956963038499997,0.0009523218497149667,skewing
-44.34048836329475,-2.4398612935259507,-0.13138645606348398,0.02888751378887777,0.007205704270999991,0.0008480333115220924,skewing
-31.671777307064986,-1.2429809803066971,-0.09394632380324787,0.014740152958179653,0.004588102998399979,0.0005307043935300558,skewing
-19.003066346122978,-0.4470322475999069,-0.05640593157053338,0.005306631648279936,0.0027823763560999915,0.0007116319172207971,skewing
-6.334355442354536,-0.049645827294511946,-0.01880819540011018,0.0005896285971225268,0.0010874437670000067,0.0009655437745894896,skewing
6.3343554423563555,-0.049645827294511946,0.01880819540012366,0.0005896285971225268,0.0002965512564999991,0.0008936286528174452,skewing
19.003066346127525,-0.4470322475999069,0.056405931570567225,0.00530663164828149,-0.0024415027098000364,0.0006500016948052476,skewing
31.671777307067714,-1.2429809803066971,0.09394632380326833,0.014740152958180984,-0.0029206871012000145,0.0009002953047217534,skewing
44.340488363296565,-2.439861293525894,0.13138645606349764,0.02888751378887688,-0.005228153525700041,0.000601993660297386,skewing
57.009199552925566,-4.0412714100421,0.1686760712511318,0.047740231263718284,-0.008026835391000032,0.0009011631950486716,skewing
0.0,0.0,0.0,0.0,0.001236646383699946,0.0004840447011215493,softening
-0.00013608856625069166,3.1335095146488925,1.5761376677762084e-08,0.00014875063699570923,0.0007098815073999672,0.0006642576751875531,softening
-0.00013713353655475657,6.378504229434099,3.12612247881068e-08,0.0005858421554481018,0.0012136764382999596,0.0005638553041661619,softening
-0.0001381623042107094,9.64777869268437,4.6492420080052414e-08,0.001297141021108006,0.0003330353495999746,0.0009759897220488073,softening
-0.00013917523938289378,12.940761939153733,6.144887048983352e-08,0.002268914431494462,0.00035217538789995525,0.0006873539592850477,softening
-0.0001401727049596957,16.256896817148117,7.61254675146119e-08,0.003487744983543317,0.0007865927137999603,0.000588210985341005,softening
-0.00014115505564404882,19.59563975994081,9.051802243104753e-08,0.0049405511937963284,0.0019874807898,0.001003606096398478,softening
-0.0001421226288584876,22.95646054964618,1.0462326902932402e-07,0.0066146042836718886,0.001611093091999971,0.0008787203882981661,softening
-0.00014307575838756748,26.338842074835497,1.1843869399841411e-07,0.008497541560540391,0.0017116411222999558,0.0007399502373547179,softening
-0.0001440147643734235,29.74228008304101,1.3196256384448134e-07,0.010577376709115294,0.0013786892139999837,0.0007556298053208518,softening
